url
Al Buhaira National Insurance Company,ABNIC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4379093,True,4379093
Abu Dhabi Aviation Co.,ADAVIATION,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4357526,True,4357526
Abu Dhabi Commercial Bank,ADCB,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4353225,True,4353225
Abu Dhabi Islamic Bank,ADIB,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4346974,True,4346974
Abu Dhabi National Hotels Co.,ADNH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4368848,True,4368848
A D N H Catering plc,ADNHC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4357426,True,4357426
Abu Dhabi National Insurance Company,ADNIC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4372575,True,4372575
Abu Dhabi National Oil Company For Distribution,ADNOCDIST,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4360672,True,4360672
ADNOC Drilling Company PJSC,ADNOCDRILL,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4366737,True,4366737
ADNOC Gas plc,ADNOCGAS,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4363605,True,4363605
ADNOC Logistics & Services plc,ADNOCLS,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4372039,True,4372039
Abu Dhabi Ports Company PJSC,ADPORTS,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4366768,True,4366768
Abu Dhabi Ship Building Co.,ADSB,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4375436,True,4375436
Al Fujairah National Insurance Company,AFNIC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4371479,True,4371479
Agility Global PLC,AGILITY,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4376006,True,4376006
AGTHIA Group,AGTHIA,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4375832,True,4375832
Al Khazna Insurance Co.,AKIC,,False,
Al Ain Alahlia Insurance Co.,ALAIN,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378968,True,4378968
Al Dar Properties,ALDAR,,False,
Alef Education Holding plc,ALEFEDT,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4355683,True,4355683
Alpha Data PJSC,ALPHADATA,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4377533,True,4377533
Alpha Dhabi Holding PJSC,ALPHADHABI,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4359673,True,4359673
Americana Restaurants International PLC,AMR,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4353655,True,4353655
APEX INVESTMENT P.S.C,APEX,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4345365,True,4345365
Aram Group,ARAM,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378983,True,4378983
Al Wathba National Insurance Co.,AWNIC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4379094,True,4379094
Abu Dhabi National Co. for Building Materials,BILDCO,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4380255,True,4380255
Borouge PLC,BOROUGE,,False,
Bank of Sharjah,BOS,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4360654,True,4360654
BURJEEL HOLDINGS PLC,BURJEEL,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4366191,True,4366191
Commercial Bank International,CBI,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4348843,True,4348843
DANA GAS PJSC,DANA,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4367521,True,4367521
Al Dhafra Insurance Co.,DHAFRA,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4367516,True,4367516
Emirates Driving Company,DRIVE,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4351420,True,4351420
E7 Group PJSC,E7,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4373624,True,4373624
E7 Group PJSC Warrants,E7W,,False,
Emirates Telecommunications Group Company PJSC (e&),EAND,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4353823,True,4353823
Emirates Insurance Co.,EIC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4375560,True,4375560
EMSTEEL BUILDING MATERIALS PJSC,EMSTEEL,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4371201,True,4371201
ESHRAQ INVESTMENTS P.J.S.C,ESHRAQ,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378376,True,4378376
First Abu Dhabi Bank,FAB,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4348422,True,4348422
Fujairah Building Industries P.S.C,FBI,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4367202,True,4367202
Fujairah Cement Industries,FCI,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4377475,True,4377475
Fertiglobe plc,FERTIGLB,,False,
Finance House,FH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4377869,True,4377869
United Fidelity Insurance Company (P.S.C),FIDELITYUNITED,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4377838,True,4377838
Gulf Cement Co.,GCEM,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4376020,True,4376020
GFH Financial Group B.S.C,GFH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378324,True,4378324
Gulf Investment House Company,GIH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378027,True,4378027
Gulf Medical Projects Company,GMPC,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4377831,True,4377831
Hayah Insurance Company P.J.S.C,HAYAH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378042,True,4378042
HILY HOLDING PJSC,HH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4373535,True,4373535
Investcorp Capital PLC,ICAP,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4376693,True,4376693
Insurance House,IH,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378048,True,4378048
International Holding Company PJSC,IHC,,False,
Invest Bank,INVESTB,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4378341,True,4378341
